,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Clusters,Total_Promos
0,1,58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,58,1617,0,0,1,0,3,0
1,1,46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,61,27,0,2,3,1,1,0
2,1,71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,50,776,1,0,2,0,3,0
3,1,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,31,53,1,1,3,1,2,0
4,2,58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,34,422,1,1,3,1,0,0
5,2,62513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,48,716,1,1,3,1,0,0
6,1,55635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,44,590,0,1,2,1,0,0
7,2,33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,30,169,1,1,3,1,2,0
8,2,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,41,46,1,1,3,1,2,0
9,2,5648,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,65,49,1,2,4,1,1,1
11,0,7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,39,61,1,0,2,0,2,0
12,1,63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,56,1102,0,0,1,0,3,0
13,2,59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,63,310,0,2,3,1,1,0
14,1,17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,28,46,1,0,2,0,2,0
15,2,82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,69,1315,0,0,1,0,3,2
16,1,41850,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,35,96,1,2,4,1,1,0
